"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
1.81E+00,-4.69E-02,4.43E-01,2.40E+00,3.06E-01,0.214690458,3.21E-01,7.66E-03,-2.01E-02,-4.94E-02,-6.18E-02,-3.14E-02,3.34E-02
1.52E+00,3.70E-01,4.87E-02,1.70E+00,2.59E-01,0.161342673,3.28E-01,7.60E-02,-5.25E-02,1.13E-01,-4.29E-02,-7.48E-03,-6.06E-02
1.55E+00,8.91E-02,2.51E-01,1.71E+00,4.03E-02,0.220923468,2.01E-01,-5.37E-02,6.67E-02,1.26E-02,2.14E-02,-1.09E-02,6.03E-03
2.32E+00,4.72E-01,3.65E-01,1.95E+00,2.24E-01,0.236180181,5.45E-01,3.87E-02,-3.54E-02,7.26E-02,-1.35E-02,2.08E-02,-3.56E-02
1.95E+00,5.42E-01,1.96E-01,2.15E+00,4.02E-01,0.120086473,6.98E-01,-9.43E-02,-1.33E-02,6.16E-03,-3.82E-02,3.01E-03,-8.52E-03
1.74E+00,3.42E-01,6.63E-01,2.44E+00,1.26E-01,0.173763171,3.45E-01,8.72E-02,7.34E-03,-1.43E-01,3.23E-02,7.04E-03,-1.28E-01
3.55E+00,-4.50E-03,3.35E-01,2.14E+00,-1.12E-01,0.084013863,5.78E-02,2.50E-02,1.28E-02,4.15E-02,4.17E-02,2.25E-02,3.66E-02
2.29E+00,3.00E-01,6.10E-01,2.25E+00,3.45E-01,0.173864387,1.53E-02,-1.92E-02,1.10E-02,-3.15E-03,7.41E-02,4.32E-02,3.24E-02
2.03E+00,-1.17E-02,3.29E-01,2.55E+00,4.01E-01,0.055391633,4.56E-01,4.68E-02,1.20E-03,1.94E-02,6.14E-02,6.13E-02,-5.74E-02
2.44E+00,1.66E-01,6.21E-01,3.20E+00,3.74E-01,0.210261072,-2.22E-02,-2.40E-03,-5.73E-02,1.21E-01,1.75E-02,-1.36E-02,2.87E-02
2.40E+00,5.11E-01,4.44E-01,2.42E+00,1.68E-01,0.203052818,3.10E-01,4.81E-02,-2.45E-02,7.34E-02,-6.14E-02,-8.30E-02,9.22E-02
2.02E+00,1.53E-01,4.68E-01,2.34E+00,5.35E-01,0.061298129,4.18E-01,-3.51E-02,-3.34E-02,6.01E-03,-2.04E-02,-2.67E-02,7.33E-02
1.52E+00,9.69E-01,6.60E-01,2.95E+00,4.41E-01,-0.001437742,2.44E-01,-3.06E-02,-4.36E-03,-3.00E-02,1.96E-02,2.92E-03,-9.07E-02
1.75E+00,2.48E-01,1.22E-02,1.66E+00,1.98E-01,0.085712053,8.98E-02,9.89E-03,-3.43E-02,-4.45E-02,4.23E-02,-5.17E-02,3.89E-02
2.23E+00,2.17E-01,5.27E-01,1.73E+00,2.23E-01,0.155612894,3.25E-01,-3.10E-02,-6.00E-03,-1.16E-02,-2.61E-02,4.16E-02,9.63E-03
1.88E+00,6.57E-01,2.68E-01,1.70E+00,2.25E-01,0.174763346,3.43E-01,-6.47E-02,-5.06E-02,8.30E-04,4.78E-02,2.15E-02,-1.11E-01
1.71E+00,6.04E-01,2.59E-01,2.05E+00,8.94E-02,-0.032961662,2.82E-01,-3.74E-02,-4.54E-02,3.03E-02,1.58E-02,-2.49E-02,-4.15E-03
2.20E+00,4.30E-01,3.44E-01,2.73E+00,4.86E-01,0.014967543,2.19E-01,-2.94E-02,4.60E-02,1.92E-02,3.11E-02,1.69E-02,2.18E-02
2.26E+00,8.92E-02,3.05E-01,2.00E+00,2.14E-01,0.222677807,-1.07E-01,-1.54E-02,-7.12E-02,3.51E-02,6.13E-02,3.30E-02,1.63E-02
2.28E+00,6.17E-01,2.71E-01,2.70E+00,2.82E-01,0.216346847,2.62E-01,1.41E-02,-8.35E-02,9.31E-02,2.08E-02,6.09E-02,1.13E-01
1.95E+00,4.79E-01,6.65E-01,2.16E+00,5.86E-01,0.164365363,3.87E-01,-9.73E-02,3.38E-02,1.32E-01,6.69E-02,-1.84E-02,5.60E-02
2.48E+00,3.26E-01,4.25E-01,1.81E+00,3.28E-01,0.108162384,5.09E-02,-1.20E-02,-1.99E-02,-4.99E-03,-5.95E-02,-1.63E-02,-4.79E-02
1.98E+00,-2.92E-02,5.03E-01,1.99E+00,1.98E-01,0.150004756,2.41E-01,-5.73E-02,-7.44E-02,-3.16E-02,-2.50E-03,-1.06E-02,-6.35E-02
2.72E+00,3.39E-01,3.55E-01,2.75E+00,2.87E-01,0.071269249,2.26E-01,-1.92E-02,-2.69E-02,1.01E-01,7.88E-02,5.86E-02,9.25E-03
2.74E+00,1.71E-01,5.33E-01,2.17E+00,4.70E-02,0.083585718,3.48E-01,6.62E-02,-2.18E-02,-2.81E-03,2.46E-02,6.03E-03,1.64E-02
2.00E+00,2.43E-01,4.67E-01,2.15E+00,3.83E-01,0.050599141,4.34E-01,4.45E-02,2.10E-02,-7.50E-02,9.47E-03,-2.22E-02,-5.49E-02
2.03E+00,3.41E-01,6.02E-01,1.67E+00,2.16E-01,0.12674862,5.57E-01,3.31E-03,2.28E-02,-3.84E-02,6.17E-02,-4.79E-02,9.02E-03
3.08E+00,3.86E-01,7.18E-01,2.29E+00,6.91E-01,0.170941467,2.54E-01,-1.71E-02,1.71E-02,1.35E-01,-6.55E-02,2.18E-02,6.70E-02
2.12E+00,3.65E-01,4.56E-01,2.31E+00,5.93E-01,0.113889683,5.67E-01,6.31E-02,-4.32E-02,1.19E-02,2.48E-02,-6.68E-02,1.11E-01
2.03E+00,4.12E-01,2.10E-01,2.17E+00,5.09E-01,0.134805018,2.99E-01,2.38E-02,-3.80E-02,2.07E-02,-7.06E-02,-9.35E-03,1.42E-02
2.18E+00,3.59E-01,5.25E-01,1.57E+00,2.61E-01,0.175731727,3.22E-01,1.06E-02,3.75E-02,4.87E-06,7.76E-03,1.99E-03,3.40E-02
3.08E+00,1.54E-01,4.45E-01,2.06E+00,5.19E-01,0.0294595,4.68E-01,2.62E-02,-6.92E-02,-8.30E-02,-4.18E-02,-2.36E-02,3.78E-02
1.61E+00,7.13E-01,4.79E-01,1.89E+00,4.00E-01,0.170420995,3.30E-01,8.57E-02,6.85E-02,-7.93E-02,1.72E-02,6.28E-03,7.59E-02
2.36E+00,1.46E-01,5.76E-01,1.93E+00,3.73E-01,0.069158585,1.76E-01,1.15E-02,3.39E-02,-5.08E-02,-2.80E-02,-1.06E-01,-5.27E-02
2.13E+00,4.55E-01,5.76E-01,1.97E+00,4.26E-01,0.083450101,4.66E-01,2.63E-02,-2.71E-03,-4.25E-02,2.41E-02,-4.98E-02,-4.90E-02
1.89E+00,2.74E-01,2.95E-01,2.06E+00,3.96E-01,0.10842969,4.10E-01,-3.07E-03,2.42E-02,1.70E-02,3.08E-02,-1.21E-01,-4.91E-03
1.68E+00,8.45E-01,6.51E-01,1.80E+00,1.91E-01,0.094409118,3.25E-01,-7.15E-02,-1.52E-02,-3.19E-02,3.71E-03,-9.65E-02,-5.56E-02
1.56E+00,5.44E-01,4.30E-01,2.21E+00,1.74E-01,0.281604787,5.25E-01,-4.46E-02,-8.67E-02,4.75E-02,7.25E-02,9.11E-02,1.11E-01
2.53E+00,5.29E-01,5.09E-01,2.04E+00,3.07E-02,0.193753746,1.63E-01,-3.53E-02,4.73E-02,5.23E-03,-9.56E-02,1.75E-02,2.98E-02
2.70E+00,4.91E-01,9.28E-02,1.99E+00,3.72E-01,0.370698088,5.34E-01,-2.58E-02,-6.64E-03,-1.55E-02,2.81E-02,-2.81E-02,2.61E-02
2.25E+00,4.48E-01,2.30E-01,3.09E+00,4.16E-01,0.067188292,5.40E-01,-1.21E-02,-3.42E-02,5.90E-03,3.75E-02,1.84E-03,4.13E-02
2.35E+00,1.90E-01,3.11E-01,2.68E+00,4.24E-01,0.110509593,1.50E-03,7.10E-02,1.29E-02,1.84E-02,2.15E-02,9.99E-02,-1.29E-02
1.99E+00,3.66E-01,4.34E-01,2.33E+00,5.30E-01,0.271518722,5.88E-01,-4.49E-02,1.39E-01,-7.53E-03,-7.99E-02,3.42E-02,5.56E-03
2.54E+00,4.04E-01,4.27E-01,1.82E+00,5.02E-01,0.217799686,4.99E-01,-3.60E-02,-2.14E-02,4.87E-02,-4.93E-02,6.73E-02,-5.68E-02
2.22E+00,3.63E-01,2.64E-01,1.54E+00,3.62E-01,0.242613475,4.40E-01,-8.00E-03,4.17E-02,2.21E-02,-1.20E-01,8.80E-02,-6.09E-02
1.69E+00,1.77E-01,3.56E-01,2.27E+00,9.26E-02,0.166296748,5.32E-01,-3.62E-02,3.20E-02,-1.66E-03,4.71E-02,4.08E-02,-1.09E-02
2.15E+00,6.70E-01,5.69E-01,3.12E+00,6.59E-01,0.199836751,2.76E-01,-5.40E-02,-5.76E-02,3.37E-02,6.77E-03,-4.13E-02,-5.16E-02
1.75E+00,3.85E-01,4.03E-01,2.23E+00,3.42E-01,0.066608984,2.46E-01,-7.72E-03,3.77E-02,4.59E-02,-3.67E-03,1.83E-02,-1.23E-01
1.87E+00,1.06E-01,1.15E-01,2.02E+00,3.64E-01,0.044021713,1.31E-01,2.42E-02,-1.17E-02,-7.80E-02,7.05E-04,7.44E-02,9.05E-02
1.88E+00,6.65E-01,4.75E-01,1.66E+00,2.93E-01,0.153279867,4.52E-01,4.08E-02,-6.63E-02,8.66E-03,-1.26E-02,9.76E-03,1.06E-02
3.18E+00,2.10E-01,3.32E-01,1.71E+00,3.43E-01,0.02620959,1.33E-01,4.96E-03,-3.19E-02,-6.66E-02,3.98E-02,2.66E-02,-1.22E-01
1.84E+00,2.95E-02,5.62E-01,2.44E+00,3.49E-01,0.045588793,5.68E-01,-1.26E-02,1.06E-01,2.82E-02,4.80E-02,5.16E-02,1.62E-01
2.09E+00,3.52E-01,1.21E-01,2.99E+00,3.90E-01,0.285241888,4.26E-01,1.61E-02,-7.46E-02,4.36E-02,7.19E-02,6.63E-03,-5.82E-02
1.51E+00,5.07E-01,6.38E-01,1.73E+00,2.99E-01,0.084009398,1.20E-01,-8.87E-02,-3.41E-02,1.21E-01,1.91E-02,1.85E-02,-4.12E-02
2.20E+00,4.20E-01,1.90E-01,1.76E+00,6.60E-02,0.000189189,3.44E-01,-2.65E-02,2.27E-02,-2.67E-02,-7.08E-02,-8.17E-02,8.93E-02
1.82E+00,3.16E-01,2.62E-01,2.47E+00,6.84E-01,0.326017971,2.35E-01,-2.97E-03,7.18E-02,-3.99E-02,6.21E-02,8.80E-03,2.19E-02
2.64E+00,2.26E-01,5.68E-01,2.32E+00,3.51E-01,0.054101617,3.04E-01,-3.19E-02,1.13E-01,-4.87E-02,-3.12E-02,2.60E-02,-5.36E-02
2.46E+00,4.83E-01,6.23E-01,2.06E+00,1.84E-01,0.179562206,-1.37E-01,-8.28E-02,5.72E-02,-6.61E-03,-4.41E-02,-7.18E-02,6.06E-02
1.77E+00,2.45E-01,2.04E-01,1.84E+00,5.35E-01,0.121167151,7.83E-01,1.47E-03,4.88E-04,3.41E-02,-9.04E-02,-2.18E-02,-5.95E-03
2.85E+00,5.48E-01,1.43E-01,2.43E+00,4.52E-01,0.170150836,1.74E-01,8.36E-02,2.23E-02,-6.63E-02,2.57E-02,-4.92E-02,-5.49E-02
2.33E+00,7.79E-01,1.99E-01,2.07E+00,4.82E-01,0.227867682,6.14E-01,5.45E-02,-3.12E-02,3.74E-02,5.67E-02,1.59E-02,3.16E-03
2.82E+00,3.11E-01,1.94E-01,2.30E+00,4.83E-01,0.28572122,5.15E-01,5.17E-02,-1.15E-02,4.36E-02,-1.79E-02,2.31E-03,7.61E-03
2.10E+00,2.30E-01,6.20E-01,2.51E+00,7.60E-01,0.197280245,2.14E-01,2.88E-02,-2.60E-02,6.48E-02,-5.47E-02,6.86E-02,1.14E-01
1.68E+00,3.77E-01,3.80E-01,2.78E+00,3.82E-01,0.273554012,7.08E-01,-4.96E-02,-6.71E-02,8.69E-02,4.76E-02,-4.52E-02,-5.25E-02
1.99E+00,3.80E-01,2.86E-01,1.75E+00,4.18E-01,0.183322396,4.10E-01,-1.73E-02,-1.37E-02,-8.91E-03,1.78E-02,-8.88E-03,-4.70E-02
2.81E+00,3.28E-01,3.93E-01,2.57E+00,6.69E-01,0.28566718,4.29E-01,7.85E-03,-6.83E-02,-4.68E-02,-2.84E-02,2.34E-02,3.42E-02
2.69E+00,3.94E-01,1.61E-01,2.55E+00,3.14E-01,0.192348745,5.80E-01,7.83E-03,-7.25E-02,-8.29E-02,2.49E-02,-8.12E-03,2.97E-02
2.03E+00,5.67E-01,5.03E-01,2.20E+00,9.43E-02,0.073795655,4.79E-01,-3.17E-03,1.04E-02,7.05E-02,6.94E-02,2.99E-02,-1.89E-02
2.68E+00,2.66E-01,5.46E-01,2.09E+00,1.60E-01,0.201300423,2.24E-01,2.89E-02,3.69E-02,-6.22E-03,4.78E-02,7.54E-03,-1.45E-01
1.92E+00,1.11E-01,3.96E-01,2.28E+00,4.58E-01,0.147923447,-5.67E-02,-1.21E-02,5.80E-03,2.76E-02,-9.72E-02,2.23E-02,1.96E-02
1.69E+00,8.66E-01,4.96E-01,2.13E+00,4.22E-01,0.220565365,3.12E-01,6.22E-03,2.62E-02,1.48E-02,-4.37E-02,3.41E-02,-5.53E-02
1.82E+00,3.66E-01,2.48E-01,1.69E+00,3.80E-01,0.251693988,6.53E-01,-3.65E-03,-7.41E-02,3.63E-02,4.38E-02,-4.09E-02,1.02E-01
2.55E+00,-3.77E-02,3.91E-01,2.25E+00,4.42E-01,0.079635127,1.77E-01,2.83E-02,2.53E-02,-5.91E-02,1.13E-03,2.22E-02,4.07E-02
1.71E+00,5.34E-01,3.79E-01,2.06E+00,3.05E-01,0.215471579,3.24E-01,3.34E-02,2.51E-02,1.14E-01,-1.31E-03,-2.44E-02,-5.45E-02
1.77E+00,4.81E-01,1.27E-01,2.41E+00,7.06E-01,0.224454556,7.96E-01,-3.02E-03,-2.05E-02,3.22E-02,3.73E-02,-4.10E-02,-3.48E-02
1.83E+00,2.39E-02,5.59E-01,2.42E+00,2.50E-01,0.174329744,7.40E-01,2.90E-02,-3.54E-03,-6.42E-02,-1.88E-02,-5.50E-02,-1.86E-02
1.68E+00,4.73E-01,4.24E-01,1.92E+00,3.81E-01,0.122392418,-1.20E-02,-9.94E-02,-1.22E-01,-1.06E-01,5.55E-02,-8.56E-03,1.86E-02
2.54E+00,3.54E-01,2.44E-01,3.12E+00,3.83E-01,0.197141527,7.37E-01,2.98E-02,5.60E-02,8.22E-02,-7.69E-03,2.38E-02,-3.92E-02
2.59E+00,6.07E-01,3.44E-01,2.57E+00,2.06E-01,0.19455765,4.83E-01,4.14E-02,6.47E-02,1.77E-02,-9.47E-02,-7.98E-02,-1.76E-02
1.74E+00,5.52E-01,5.34E-01,2.07E+00,7.09E-01,0.148006099,4.37E-01,5.03E-02,-1.17E-02,3.19E-02,6.91E-03,-3.21E-02,-2.29E-03
1.91E+00,4.95E-01,4.03E-01,1.98E+00,3.07E-01,0.198123924,3.38E-01,2.46E-02,-5.99E-02,5.00E-02,-6.20E-03,-1.10E-01,4.84E-02
2.47E+00,1.16E-01,4.16E-01,2.31E+00,4.42E-01,0.13748974,3.52E-01,9.96E-02,-5.39E-02,6.79E-02,-8.71E-03,4.08E-02,2.04E-03
1.82E+00,5.79E-02,4.23E-01,2.90E+00,5.39E-01,0.126954402,6.22E-02,4.45E-03,2.70E-02,-5.37E-02,4.71E-02,-2.36E-02,-4.71E-02
2.31E+00,5.16E-01,3.34E-01,1.80E+00,5.23E-01,0.318085199,6.12E-01,7.66E-02,5.73E-02,4.24E-02,1.70E-02,1.11E-02,1.83E-02
2.32E+00,4.48E-01,-1.61E-01,1.91E+00,6.84E-01,0.068448042,-2.84E-02,9.94E-03,-1.20E-02,-8.20E-03,-3.08E-02,1.99E-02,-3.97E-02
2.61E+00,3.66E-01,5.03E-01,1.86E+00,4.72E-01,0.059378444,2.54E-01,-4.95E-03,-5.27E-02,1.69E-02,-4.74E-02,-9.54E-02,6.85E-02
2.44E+00,-2.46E-02,3.19E-01,1.64E+00,5.21E-01,0.075612427,3.30E-01,-3.49E-02,2.00E-03,-3.20E-02,-2.69E-02,-5.62E-02,-3.28E-02
2.12E+00,3.76E-01,4.85E-01,1.98E+00,6.94E-02,0.222560713,4.95E-01,4.10E-02,8.72E-02,-2.19E-03,-3.32E-02,-4.85E-03,8.08E-02
1.92E+00,1.84E-01,3.23E-01,1.57E+00,5.49E-01,0.221259244,6.80E-01,-6.15E-02,1.60E-01,-6.59E-02,-6.87E-02,-1.82E-02,9.22E-02
2.62E+00,6.21E-01,-4.13E-02,1.80E+00,2.17E-01,0.208297064,3.57E-01,6.64E-02,2.00E-02,7.02E-02,2.72E-02,-4.77E-02,1.72E-02
1.82E+00,3.16E-01,2.62E-01,2.47E+00,6.84E-01,0.326017971,2.35E-01,-2.97E-03,7.18E-02,-3.99E-02,6.21E-02,8.80E-03,2.19E-02
2.30E+00,2.77E-01,-1.73E-02,2.97E+00,2.46E-01,0.249051109,4.57E-01,2.76E-03,-8.98E-03,4.73E-02,6.39E-02,4.78E-02,-7.19E-02
1.91E+00,-3.62E-02,-3.76E-02,2.80E+00,5.30E-01,0.293582627,4.26E-02,9.88E-03,-1.96E-02,-3.59E-02,1.23E-01,7.37E-02,-6.41E-02
2.78E+00,3.31E-01,2.25E-01,2.92E+00,-1.84E-01,0.293031889,-8.84E-02,8.80E-02,7.72E-03,8.41E-02,8.03E-02,-1.40E-01,-1.78E-01
1.94E+00,1.26E-01,6.92E-02,2.95E+00,3.43E-01,0.318072464,2.91E-01,9.09E-02,-3.25E-02,1.17E-02,5.42E-02,1.26E-02,-9.64E-02
2.37E+00,4.26E-01,5.59E-02,2.31E+00,6.07E-01,0.238803503,3.20E-01,-6.80E-02,-1.25E-01,-5.31E-02,1.46E-01,-8.95E-03,2.85E-02
1.86E+00,3.16E-01,2.79E-01,2.46E+00,7.04E-01,0.242734165,4.29E-01,-8.47E-04,-1.65E-01,-8.20E-02,4.70E-02,-8.28E-02,-2.45E-02
2.26E+00,2.27E-01,4.56E-01,2.60E+00,2.34E-01,0.274012712,2.46E-01,6.47E-03,-1.35E-01,1.94E-02,4.70E-02,1.54E-02,-6.95E-02
2.36E+00,3.43E-01,3.90E-01,1.96E+00,5.64E-01,0.210767155,5.18E-01,-6.00E-03,-1.51E-01,-1.26E-01,1.43E-02,-3.68E-02,-7.26E-02
2.23E+00,4.24E-01,1.51E-01,2.61E+00,3.22E-01,0.394572604,7.60E-01,-9.48E-03,-4.99E-02,-3.08E-02,1.35E-01,-5.90E-03,2.63E-02
2.27E+00,-2.49E-01,-6.59E-02,2.35E+00,3.41E-01,0.36414307,2.09E-01,-9.98E-03,-2.31E-02,-1.08E-01,6.07E-02,3.30E-02,-6.35E-02
1.96E+00,8.29E-02,-4.70E-02,3.12E+00,3.01E-01,0.243834772,3.34E-01,2.49E-02,-1.24E-01,1.64E-02,7.10E-02,-7.30E-03,3.46E-02
2.49E+00,2.84E-02,-8.35E-02,2.63E+00,1.89E-01,0.365837705,5.36E-01,5.03E-02,-9.01E-02,7.73E-03,1.59E-01,-2.60E-02,-8.94E-02
1.71E+00,-1.60E-01,1.59E-01,2.13E+00,3.73E-01,0.259559737,1.72E-01,2.99E-02,-2.08E-02,-1.41E-02,9.58E-03,4.32E-02,4.11E-03
1.76E+00,1.49E-01,1.43E-02,2.79E+00,1.66E-01,0.171291301,3.47E-01,-2.37E-02,-1.33E-01,-4.91E-02,1.17E-01,5.22E-02,-2.95E-02
2.12E+00,1.13E-01,2.20E-01,2.47E+00,4.41E-01,0.298454422,5.37E-01,-3.34E-02,-7.55E-02,-4.16E-02,4.85E-02,-2.98E-02,-5.16E-02
1.82E+00,-4.54E-03,1.99E-01,2.05E+00,1.74E-01,0.214292951,4.21E-01,-2.06E-02,-7.34E-02,4.91E-02,1.79E-01,3.18E-02,-8.58E-02
1.74E+00,4.28E-01,-8.12E-02,4.08E+00,3.85E-01,0.36640126,4.49E-01,-2.89E-02,-8.12E-02,-3.78E-02,5.89E-02,4.94E-02,-8.67E-02
1.76E+00,4.34E-01,-1.10E-01,2.96E+00,5.90E-01,0.372932586,6.25E-01,-3.68E-02,-8.63E-02,-1.63E-01,7.60E-02,3.68E-02,-7.74E-02
2.63E+00,6.73E-01,3.27E-02,2.56E+00,5.73E-01,0.299512979,3.73E-01,-3.29E-02,-2.13E-02,-6.46E-02,4.94E-02,2.67E-03,-8.65E-02
3.10E+00,6.00E-01,-8.61E-02,2.40E+00,4.68E-01,0.396364982,4.31E-01,2.19E-02,-5.11E-02,2.12E-02,3.59E-02,1.24E-01,-1.48E-01
2.28E+00,4.69E-01,3.03E-01,2.38E+00,6.71E-01,0.331033073,9.07E-01,6.99E-02,-5.06E-02,-1.11E-01,5.77E-02,3.18E-02,-1.56E-01
2.11E+00,1.68E-01,5.02E-01,2.70E+00,3.50E-01,0.355202846,4.21E-01,-6.87E-02,-5.65E-02,4.48E-02,1.46E-01,4.13E-02,-1.08E-01
2.10E+00,4.23E-01,3.14E-01,2.76E+00,5.97E-01,0.269080013,7.22E-01,-6.12E-02,-2.67E-02,-9.28E-02,8.22E-02,-5.36E-02,-7.18E-02
2.69E+00,2.29E-02,2.54E-01,2.15E+00,2.59E-02,0.322136594,4.39E-01,-2.10E-02,-4.14E-02,-1.21E-01,4.48E-02,2.32E-02,-4.87E-02
3.20E+00,4.12E-01,2.20E-01,3.19E+00,4.17E-01,0.278589871,6.24E-01,-3.13E-03,-4.66E-02,-1.99E-02,-6.73E-02,-3.53E-02,6.60E-02
2.55E+00,5.29E-01,6.26E-02,3.04E+00,3.92E-01,0.207853539,2.97E-01,5.12E-02,-3.85E-02,-5.16E-04,9.05E-02,2.81E-02,3.21E-02
3.09E+00,2.01E-01,2.26E-01,3.38E+00,8.17E-01,0.363989509,8.99E-01,1.45E-02,-1.99E-02,-2.27E-04,3.79E-02,7.13E-03,1.84E-02
2.99E+00,4.00E-01,3.46E-02,2.62E+00,3.61E-01,0.314772794,4.83E-01,3.91E-02,3.68E-02,6.01E-02,-2.46E-02,-7.81E-03,-7.48E-02
2.70E+00,3.07E-01,1.18E-01,3.23E+00,1.00E-01,0.28720755,5.99E-01,-2.28E-02,-3.01E-03,8.26E-02,-3.07E-02,-6.83E-02,3.20E-02
2.92E+00,6.90E-01,6.95E-02,2.19E+00,4.40E-01,0.343689494,6.30E-01,3.38E-02,-1.07E-01,6.35E-02,3.57E-02,3.73E-02,-4.28E-02
1.79E+00,2.83E-01,-7.82E-02,2.97E+00,1.26E-01,0.269902316,5.15E-01,8.48E-02,8.35E-02,1.20E-01,-9.23E-02,2.08E-02,-4.10E-02
2.42E+00,4.08E-01,2.53E-01,3.42E+00,5.27E-01,0.16343837,4.29E-01,-2.97E-02,-1.25E-01,1.81E-02,-5.01E-02,4.57E-02,-5.01E-02
2.86E+00,2.54E-01,2.51E-01,2.84E+00,3.39E-01,0.036450026,6.87E-01,1.94E-02,-8.87E-03,7.17E-02,-2.28E-02,4.43E-02,8.83E-02
1.63E+00,5.45E-01,2.94E-01,3.00E+00,5.31E-01,0.353079281,2.99E-01,7.68E-02,3.39E-02,1.10E-02,-8.36E-03,-3.56E-03,-1.61E-03
2.68E+00,5.61E-01,-6.36E-02,2.91E+00,4.02E-01,0.193917066,7.40E-01,4.99E-02,-9.92E-02,7.64E-02,-2.97E-02,-1.48E-02,-2.19E-02
2.72E+00,3.31E-01,1.65E-01,2.82E+00,5.15E-01,0.260339039,5.85E-01,5.57E-02,1.84E-02,-4.88E-02,-5.72E-03,-7.65E-02,5.61E-02
2.23E+00,4.52E-01,-9.09E-02,3.69E+00,3.55E-01,0.403451346,5.62E-01,-1.99E-02,-5.26E-02,-5.43E-02,-4.77E-02,1.30E-02,-3.99E-02
3.68E+00,6.03E-01,1.88E-01,2.80E+00,4.31E-01,0.37503403,3.33E-01,-2.86E-02,-2.70E-02,9.00E-02,-5.77E-03,6.91E-03,-1.14E-01
2.56E+00,4.26E-01,1.59E-02,3.02E+00,4.05E-01,0.368395823,8.18E-01,-4.40E-03,2.81E-02,-5.56E-03,-1.45E-02,2.13E-02,-1.00E-01
1.78E+00,2.26E-01,-1.11E-01,3.01E+00,8.01E-01,0.337323803,4.00E-01,-1.76E-02,-1.44E-02,7.38E-02,-4.19E-02,-2.16E-02,-1.58E-02
3.03E+00,3.66E-01,-1.35E-01,2.81E+00,5.18E-01,0.261684542,4.78E-01,1.00E-02,-4.54E-02,-8.59E-02,-3.69E-02,-2.24E-02,-1.20E-01
2.34E+00,4.59E-01,5.97E-02,2.79E+00,2.97E-01,0.211315743,6.94E-01,-3.51E-02,4.45E-02,1.24E-01,-7.29E-02,6.22E-02,-3.77E-02
1.75E+00,1.16E-02,-2.95E-02,1.94E+00,5.36E-01,0.380172181,6.81E-01,7.68E-02,-2.88E-03,3.92E-02,1.16E-02,2.17E-02,1.07E-01
2.45E+00,4.98E-01,-4.08E-01,2.95E+00,4.67E-01,0.2589777,7.25E-01,7.95E-02,-7.08E-03,3.39E-02,-4.75E-02,-5.57E-02,-3.83E-02
3.15E+00,4.72E-01,-1.32E-02,2.50E+00,4.70E-01,0.362307609,5.01E-01,-4.22E-02,2.11E-03,6.63E-02,2.85E-03,-1.01E-01,1.67E-02
2.25E+00,3.58E-01,2.44E-01,3.34E+00,7.73E-01,0.161406967,7.45E-02,1.56E-02,-9.40E-02,7.47E-03,-2.16E-02,2.01E-02,-7.72E-02
3.05E+00,5.29E-01,2.04E-01,2.84E+00,6.10E-01,0.315122214,5.97E-01,-1.05E-02,-4.61E-02,8.04E-02,-3.09E-02,-2.51E-02,-1.52E-02
