"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
2.31E+00,4.94E-01,1.46E-01,1.89E+00,2.55E-01,0.126795301,5.41E-01,4.37E-02,-1.88E-02,-9.97E-04,-7.85E-02,-6.95E-02,-5.28E-02
1.61E+00,-1.57E-01,3.82E-01,1.80E+00,1.15E-01,0.119302871,2.15E-01,5.70E-02,-2.64E-02,-3.93E-03,-4.15E-02,1.43E-02,-8.06E-03
2.44E+00,5.60E-02,8.60E-01,2.45E+00,3.42E-01,0.211277208,4.31E-01,3.26E-03,-1.92E-02,-3.99E-02,-1.84E-02,1.75E-02,6.02E-03
1.86E+00,4.48E-01,4.30E-01,1.65E+00,3.83E-01,0.152826872,4.07E-01,-2.43E-02,1.36E-03,-4.60E-02,4.81E-02,6.82E-02,-5.08E-02
2.46E+00,4.34E-01,4.39E-01,2.35E+00,3.75E-01,0.172632298,6.81E-01,-1.83E-02,8.79E-02,-2.31E-02,8.51E-03,-5.05E-02,3.64E-02
2.63E+00,3.44E-01,1.78E-01,1.99E+00,1.12E-01,0.123339422,2.43E-01,-4.96E-02,5.16E-02,7.76E-02,8.11E-02,8.93E-02,-2.65E-02
2.54E+00,9.37E-01,3.97E-01,2.02E+00,9.36E-02,0.15550746,5.66E-01,-3.10E-02,-7.78E-02,-7.71E-03,-1.39E-02,3.39E-03,-5.26E-02
1.56E+00,2.78E-01,4.45E-01,2.22E+00,4.85E-01,0.207740786,2.77E-01,4.15E-02,5.43E-02,5.33E-02,1.54E-03,-1.36E-03,2.27E-02
2.17E+00,2.90E-01,4.24E-01,2.64E+00,4.26E-01,0.243042984,3.64E-01,4.08E-02,-3.87E-02,1.46E-02,-1.56E-02,2.43E-02,1.41E-02
2.37E+00,5.45E-01,7.48E-01,1.62E+00,5.61E-01,0.067808905,2.82E-01,1.06E-03,-4.07E-03,-7.93E-02,-2.82E-02,-8.63E-02,-2.21E-02
