"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
2.78E+00,5.02E-01,3.21E-01,2.92E+00,4.66E-01,0.268178077,5.58E-01,-7.76E-02,7.21E-03,3.63E-02,7.77E-02,9.78E-03,-4.82E-02
3.08E+00,5.53E-01,8.98E-01,3.51E+00,4.12E-01,0.178064547,7.14E-01,-1.78E-02,5.28E-02,-1.26E-02,3.65E-02,-4.38E-02,-5.26E-02
3.20E+00,7.70E-01,5.48E-01,3.66E+00,5.63E-01,0.275514795,4.90E-01,6.78E-02,4.22E-03,4.11E-02,-7.10E-02,1.60E-02,6.82E-02
4.13E+00,5.84E-01,6.67E-01,4.45E+00,6.42E-01,0.168933508,2.83E-01,3.58E-02,1.82E-02,-6.02E-02,-5.29E-02,-6.40E-02,5.47E-02
3.33E+00,7.54E-01,6.34E-01,4.36E+00,6.50E-01,0.222742556,6.23E-01,9.89E-02,-5.39E-02,-3.26E-02,-1.23E-01,-5.46E-02,-8.93E-03
3.88E+00,3.12E-01,5.07E-01,3.95E+00,8.57E-01,0.183911172,4.83E-01,-5.40E-03,-3.52E-02,-4.12E-02,1.05E-01,-8.29E-03,1.55E-02
4.24E+00,5.39E-01,7.29E-01,3.56E+00,6.46E-01,0.319417513,9.61E-01,-6.48E-02,-4.78E-02,4.55E-02,-1.57E-02,1.08E-01,-2.96E-02
4.31E+00,4.65E-01,4.12E-01,4.17E+00,3.93E-01,0.282100533,5.42E-01,-6.20E-02,6.28E-02,-1.37E-02,-7.57E-02,1.82E-02,-6.02E-03
3.38E+00,6.73E-01,7.84E-01,4.13E+00,9.43E-01,0.092358778,5.05E-01,7.20E-02,2.22E-02,-4.17E-02,2.15E-02,-1.52E-02,-9.27E-02
4.33E+00,6.89E-01,3.15E-01,3.41E+00,9.50E-01,0.21913233,6.07E-01,-1.68E-02,3.48E-02,-5.80E-02,6.13E-02,4.03E-02,-5.59E-02
3.08E+00,4.86E-01,8.88E-01,3.98E+00,5.86E-01,0.155368452,3.01E-01,6.10E-03,-4.29E-02,-6.53E-02,-5.66E-02,-6.93E-02,-2.87E-02
3.33E+00,7.04E-01,6.60E-01,4.09E+00,6.86E-01,0.165439177,7.56E-01,1.20E-02,-1.67E-02,-9.35E-03,9.10E-03,4.20E-02,-7.38E-04
3.66E+00,5.74E-01,4.88E-01,3.78E+00,6.83E-01,0.365951904,3.95E-01,-2.78E-02,-4.62E-03,6.43E-02,2.97E-02,-3.82E-02,4.62E-02
4.07E+00,4.27E-01,6.36E-01,3.00E+00,7.20E-01,0.028720689,5.24E-01,-1.21E-02,4.62E-02,3.40E-03,-4.46E-02,-1.73E-02,-6.90E-02
4.23E+00,5.63E-01,7.48E-01,3.27E+00,4.23E-01,0.234492121,3.25E-01,3.25E-02,5.99E-02,-7.74E-02,-2.92E-02,6.06E-04,-5.49E-02
2.99E+00,4.82E-01,6.43E-01,2.89E+00,8.27E-01,0.314545883,7.08E-01,9.17E-02,8.23E-03,3.71E-02,-6.47E-02,6.97E-03,1.17E-03
4.12E+00,9.70E-01,7.84E-01,4.34E+00,8.59E-01,0.159818594,7.97E-01,3.74E-03,-4.87E-02,-5.19E-02,-8.25E-03,-1.82E-02,-2.43E-02
3.20E+00,3.37E-01,2.54E-01,3.67E+00,7.66E-01,0.221146368,7.29E-01,-4.37E-02,-3.74E-02,1.74E-02,-2.40E-02,4.34E-02,-1.07E-01
3.59E+00,3.05E-01,8.39E-01,4.04E+00,6.11E-01,0.208428216,2.68E-01,5.79E-03,2.72E-02,1.44E-01,3.59E-02,-8.43E-02,2.34E-02
3.85E+00,2.22E-01,4.74E-01,3.72E+00,7.27E-01,0.131943994,9.92E-01,3.69E-03,-2.50E-02,-4.09E-02,1.23E-01,8.64E-03,-4.58E-02
4.41E+00,8.50E-01,6.80E-01,3.07E+00,5.70E-01,0.182174571,6.28E-01,-3.76E-02,2.09E-02,3.99E-02,2.04E-02,3.87E-02,2.59E-02
4.17E+00,8.76E-01,4.88E-01,4.07E+00,7.85E-01,0.260509759,5.34E-01,9.06E-02,-6.45E-02,2.17E-02,5.68E-02,-1.15E-01,-4.42E-02
4.32E+00,7.92E-01,4.17E-01,3.83E+00,2.72E-01,0.113172318,3.88E-01,-4.52E-02,3.42E-02,-3.37E-02,-8.23E-02,2.26E-02,-4.73E-02
3.95E+00,6.33E-01,6.43E-01,3.37E+00,6.09E-01,0.068648284,6.93E-01,1.15E-02,1.14E-02,2.77E-02,-5.44E-02,3.94E-02,-5.01E-04
3.99E+00,8.11E-01,6.95E-01,4.38E+00,7.05E-01,0.203017054,7.66E-01,-3.73E-02,-9.90E-02,1.67E-03,3.61E-02,-2.59E-02,7.38E-03
3.50E+00,7.01E-01,9.71E-01,3.17E+00,4.60E-01,0.310897867,7.86E-01,-3.83E-02,-1.52E-01,1.60E-02,-7.23E-02,4.36E-02,-6.19E-02
3.75E+00,4.28E-01,7.42E-01,4.18E+00,6.59E-01,0.346140649,6.50E-01,7.03E-02,-6.14E-03,1.24E-02,-1.45E-02,1.89E-02,-5.60E-03
3.89E+00,7.86E-01,4.80E-01,3.20E+00,3.27E-01,0.247566474,8.17E-01,7.57E-02,6.09E-02,-4.46E-02,1.88E-03,-1.07E-03,-2.25E-02
3.81E+00,6.83E-01,6.58E-01,3.82E+00,4.76E-01,0.261270331,4.63E-01,-7.16E-02,-7.80E-02,-3.93E-02,7.59E-02,-5.58E-02,2.76E-02
3.73E+00,4.83E-01,3.95E-01,3.55E+00,7.44E-01,0.255314178,7.14E-01,2.97E-02,8.14E-02,-8.26E-02,2.29E-02,4.61E-02,-2.27E-02
2.56E+00,2.61E-01,5.40E-01,3.78E+00,7.29E-01,0.33611586,5.75E-01,-3.67E-02,-5.18E-02,-6.51E-02,2.98E-02,4.10E-03,-9.00E-02
3.98E+00,6.35E-01,7.64E-01,4.16E+00,5.66E-01,0.327737413,6.83E-01,2.55E-02,1.23E-02,-6.24E-02,4.35E-02,-4.42E-02,2.59E-02
4.00E+00,3.55E-01,2.90E-01,3.94E+00,4.25E-01,0.273030026,5.77E-01,5.29E-02,-7.61E-02,-9.08E-02,-3.22E-02,-9.86E-02,5.40E-02
4.38E+00,9.60E-01,5.80E-01,4.14E+00,4.08E-01,0.203644861,7.03E-01,3.02E-02,4.12E-02,4.00E-02,-4.50E-02,2.89E-02,-5.71E-02
4.04E+00,7.79E-01,9.01E-01,3.33E+00,4.41E-01,0.280400235,6.54E-01,1.25E-02,-7.99E-02,4.06E-02,2.85E-02,-1.65E-02,-2.52E-02
4.16E+00,1.43E-01,3.06E-01,4.48E+00,5.87E-01,0.275643879,4.59E-01,6.06E-02,2.95E-02,-4.87E-02,-1.39E-03,3.24E-02,4.69E-02
4.45E+00,5.49E-01,5.41E-01,3.56E+00,9.65E-01,0.395462013,4.02E-01,-2.86E-02,-2.46E-02,-9.50E-02,-9.13E-02,2.36E-02,1.61E-02
3.30E+00,4.40E-01,5.42E-01,3.84E+00,2.71E-01,0.1654663,8.90E-01,9.43E-03,8.80E-02,2.93E-03,7.33E-02,-1.25E-02,4.90E-02
3.65E+00,7.20E-01,5.18E-01,4.16E+00,4.20E-01,0.276023773,9.59E-01,-2.43E-02,-3.32E-02,-1.67E-02,-5.00E-02,-2.72E-02,3.98E-03
4.25E+00,5.69E-01,1.83E-01,3.03E+00,3.95E-01,0.130339247,4.36E-01,8.95E-02,3.75E-03,4.44E-03,-5.43E-02,2.73E-02,-1.91E-02
3.96E+00,5.62E-01,7.04E-01,3.83E+00,5.86E-01,0.264986487,6.66E-01,2.87E-02,7.20E-02,3.58E-02,-8.91E-03,-7.75E-02,8.72E-02
3.39E+00,5.93E-01,6.36E-01,4.00E+00,9.20E-01,0.367051229,8.24E-01,3.26E-03,-1.76E-02,6.83E-02,-3.99E-03,-5.20E-02,-2.81E-02
4.32E+00,5.11E-01,7.12E-01,4.02E+00,8.45E-01,0.290964184,7.58E-01,-7.63E-02,5.53E-02,9.94E-03,1.74E-02,8.41E-03,9.93E-03
3.77E+00,6.57E-01,5.10E-01,2.46E+00,9.49E-01,0.253595108,7.34E-01,2.23E-03,-3.59E-02,3.04E-02,-2.12E-02,2.05E-02,-2.39E-02
3.68E+00,8.66E-01,6.01E-01,4.05E+00,5.78E-01,0.322243516,6.26E-01,-2.30E-02,-7.97E-02,-4.91E-02,8.87E-02,-6.31E-03,-3.39E-02
3.70E+00,2.78E-01,5.52E-01,3.43E+00,7.01E-01,0.354415316,4.70E-01,-5.52E-02,-2.36E-02,-1.51E-02,-1.09E-01,-5.29E-03,1.43E-02
3.42E+00,4.07E-01,7.05E-01,3.38E+00,6.27E-01,0.239889101,7.31E-01,2.99E-03,5.83E-03,6.70E-02,6.81E-03,2.30E-02,-3.94E-02
3.54E+00,7.95E-01,3.07E-01,3.96E+00,3.93E-01,0.302213909,4.98E-01,3.62E-02,-2.90E-02,1.04E-02,-4.27E-02,4.22E-02,9.86E-03
2.81E+00,5.47E-01,5.58E-01,4.44E+00,5.95E-01,0.307184771,5.77E-01,2.67E-02,-5.68E-03,-1.49E-02,1.68E-02,-7.36E-02,-1.96E-03
3.51E+00,3.48E-01,5.73E-01,3.67E+00,7.83E-01,0.281745655,7.95E-01,6.31E-02,-5.13E-03,1.33E-03,-5.05E-02,-7.81E-02,-1.30E-02
4.33E+00,6.17E-01,6.67E-01,3.10E+00,5.49E-01,0.255813935,7.11E-01,-1.41E-02,5.16E-02,8.72E-03,2.63E-02,-3.83E-02,-2.92E-02
