"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"Ca,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.04E+00,-1.56E-01,6.04E-01,3.97E+00,6.39E-01,0.400661232,8.05E-01,4.04E-02,-1.42E-01,2.52E-01,-1.78E-01,1.02E-01,-2.36E-01,2.97E+00,3.37E-01,2.14E-02,3.39E+00,5.09E-01,0.402537047,3.45E-01,5.39E-02,-2.07E-01,2.38E-01,-1.91E-01,7.73E-02,-4.76E-02,2.75E+00,4.07E-01,-6.22E-02,4.20E+00,5.94E-01,0.381475345,6.22E-01,8.34E-02,-2.30E-01,2.76E-01,-2.18E-01,3.98E-02,-1.48E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.21E+00,9.72E-02,4.89E-01,3.65E+00,5.79E-01,0.379920503,8.53E-01,8.44E-02,-4.87E-02,2.19E-01,-2.29E-01,6.11E-02,-2.72E-01,3.33E+00,1.29E-01,2.37E-01,3.79E+00,8.03E-01,0.377197164,8.39E-01,7.30E-02,-2.74E-01,2.04E-01,-2.23E-01,9.83E-02,-1.67E-01,4.41E+00,-6.93E-02,7.25E-01,3.70E+00,6.78E-01,0.407834052,7.18E-01,3.61E-02,-6.54E-02,1.66E-01,-2.11E-01,1.03E-01,-1.18E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.41E+00,1.06E-01,7.54E-01,3.72E+00,6.11E-01,0.34277532,8.55E-01,6.83E-02,-7.96E-02,2.92E-01,-2.11E-01,1.37E-01,-1.46E-01,3.99E+00,7.89E-03,2.70E-01,4.23E+00,6.93E-01,0.372064885,6.80E-01,6.62E-02,-1.35E-01,2.27E-01,-1.64E-01,1.15E-01,-1.48E-01,3.68E+00,7.92E-02,8.11E-01,3.67E+00,6.32E-01,0.399682598,8.08E-01,-9.61E-03,-1.17E-02,2.00E-01,-1.80E-01,4.14E-02,-8.89E-02
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.41E+00,5.39E-03,7.80E-01,3.35E+00,6.12E-01,0.405236034,7.39E-01,2.97E-03,-1.16E-01,1.43E-01,-2.20E-01,3.36E-02,-2.12E-01,4.33E+00,7.20E-02,6.98E-01,4.00E+00,7.45E-01,0.355915208,9.24E-01,2.36E-02,-9.98E-02,2.96E-01,-2.01E-01,9.69E-02,-2.17E-01,3.21E+00,2.28E-01,1.02E-01,2.81E+00,5.17E-01,0.372954541,4.06E-01,5.47E-02,-2.00E-01,2.38E-01,-1.21E-01,9.89E-02,-1.78E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.22E+00,7.98E-02,8.16E-01,4.02E+00,6.23E-01,0.377134069,7.91E-01,4.90E-02,-1.38E-01,1.79E-01,-2.93E-01,2.75E-02,-1.93E-01,4.34E+00,-1.15E-01,8.30E-01,3.45E+00,5.49E-01,0.384983403,6.89E-01,4.55E-02,-9.07E-02,2.40E-01,-2.50E-01,5.12E-02,-2.79E-01,3.03E+00,-7.01E-02,3.07E-01,3.53E+00,4.97E-01,0.379096382,3.13E-01,9.61E-02,-1.85E-01,2.60E-01,-1.12E-01,9.55E-02,-2.00E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.84E+00,3.34E-02,6.39E-01,3.96E+00,6.51E-01,0.367125157,8.31E-01,5.17E-02,-1.07E-01,2.07E-01,-2.04E-01,1.27E-02,-2.87E-01,4.14E+00,-7.80E-02,6.71E-01,3.98E+00,5.96E-01,0.375623882,9.37E-01,9.40E-02,-8.94E-02,2.21E-01,-1.65E-01,7.78E-02,-2.35E-01,3.04E+00,-7.41E-02,5.09E-01,3.51E+00,5.95E-01,0.367908925,9.61E-01,-2.39E-02,-6.53E-02,2.48E-01,-1.81E-01,1.38E-01,-2.83E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.92E+00,-1.10E-01,3.50E-01,4.31E+00,7.21E-01,0.391999684,8.33E-01,8.16E-02,-5.72E-02,2.35E-01,-1.83E-01,1.67E-01,-2.76E-01,3.95E+00,-4.89E-02,6.93E-01,4.27E+00,6.38E-01,0.370931449,8.63E-01,6.30E-03,-9.73E-02,2.55E-01,-1.39E-01,1.51E-01,-2.31E-01,3.87E+00,-9.43E-02,4.87E-01,4.04E+00,6.71E-01,0.398566403,9.35E-01,8.09E-02,-3.19E-02,1.84E-01,-2.14E-01,1.66E-01,-3.00E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.16E+00,-9.56E-02,7.70E-01,3.48E+00,6.53E-01,0.400024659,9.74E-01,-9.88E-03,-7.19E-02,2.30E-01,-1.55E-01,1.40E-01,-2.39E-01,3.77E+00,-7.71E-02,2.89E-01,3.93E+00,6.78E-01,0.412620838,9.59E-01,5.21E-02,9.99E-03,2.13E-01,-1.80E-01,2.78E-01,-2.41E-01,3.75E+00,-8.48E-02,5.49E-01,4.45E+00,7.81E-01,0.351849838,9.29E-01,5.95E-02,-2.01E-01,2.16E-01,-8.21E-02,1.90E-01,-2.99E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.26E+00,8.25E-02,5.15E-01,3.86E+00,6.56E-01,0.383084888,7.81E-01,3.17E-02,-3.01E-02,2.98E-01,-7.05E-02,2.48E-01,-2.45E-01,3.42E+00,1.17E-02,5.29E-01,3.81E+00,6.17E-01,0.372463467,8.97E-01,8.91E-02,-2.05E-01,2.49E-01,-7.46E-02,2.02E-01,-2.56E-01,4.19E+00,1.50E-01,7.09E-01,3.78E+00,5.77E-01,0.398925871,8.91E-01,1.62E-02,-8.18E-02,2.42E-01,-1.93E-01,2.66E-02,-1.85E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.40E+00,1.01E-01,4.83E-01,3.91E+00,6.20E-01,0.402133463,7.19E-01,-4.01E-02,-2.29E-01,2.75E-01,-1.08E-01,2.44E-01,-2.92E-01,3.48E+00,-4.62E-02,4.68E-01,3.62E+00,6.41E-01,0.376407484,7.33E-01,9.91E-02,-1.08E-01,2.95E-01,-2.19E-01,1.41E-01,-1.55E-01,4.10E+00,-1.02E-01,4.72E-01,4.06E+00,8.38E-01,0.41100162,9.76E-01,2.91E-02,-2.85E-01,2.79E-01,-1.57E-01,2.22E-01,-2.47E-01
