"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"Ca,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.29E+00,-1.54E-01,4.12E-01,4.00E+00,6.62E-01,0.377691381,9.78E-01,7.56E-02,-2.07E-01,2.90E-01,-1.39E-01,2.13E-01,-2.68E-01,4.03E+00,-3.04E-02,8.21E-01,4.05E+00,6.86E-01,0.411047432,9.33E-01,9.34E-02,-1.98E-01,2.51E-01,-2.22E-01,1.96E-01,-2.89E-01,4.50E+00,-9.70E-02,5.20E-01,4.00E+00,6.77E-01,0.353004485,7.83E-01,4.94E-02,-6.48E-03,2.68E-01,-2.93E-01,1.37E-01,-2.08E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.25E+00,4.34E-02,5.79E-01,4.32E+00,5.72E-01,0.377119391,9.48E-01,2.09E-02,-2.15E-01,2.07E-01,-1.55E-01,4.20E-02,-2.92E-01,4.29E+00,-8.55E-03,5.45E-01,4.18E+00,5.96E-01,0.340298572,9.54E-01,6.09E-02,-1.41E-01,2.54E-01,-2.63E-01,1.22E-01,-2.87E-01,4.17E+00,1.24E-01,4.31E-01,3.75E+00,6.32E-01,0.385192617,9.05E-01,3.42E-02,-1.11E-01,2.07E-01,-1.38E-01,1.51E-01,-2.28E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.03E+00,8.50E-02,6.56E-01,4.23E+00,6.21E-01,0.39234741,9.21E-01,4.74E-02,-1.19E-01,2.02E-01,-2.79E-01,4.95E-02,-2.66E-01,4.12E+00,-8.62E-02,5.37E-01,4.40E+00,6.10E-01,0.394947371,9.84E-01,3.64E-02,-2.74E-01,1.54E-01,-1.85E-01,7.27E-02,-2.43E-01,4.10E+00,-1.24E-01,4.01E-01,4.27E+00,6.97E-01,0.391433814,7.86E-01,2.72E-02,-1.70E-01,1.76E-01,-2.45E-01,3.10E-02,-2.76E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.26E+00,4.69E-04,6.28E-01,4.20E+00,7.27E-01,0.37979667,9.89E-01,4.07E-02,-8.11E-02,2.08E-01,-2.21E-01,9.04E-02,-2.59E-01,4.18E+00,-1.46E-01,8.02E-01,4.48E+00,6.21E-01,0.392223163,9.71E-01,1.52E-03,-1.50E-01,3.00E-01,-2.93E-01,2.60E-02,-2.30E-01,3.79E+00,-5.64E-02,5.68E-01,4.21E+00,6.43E-01,0.369996022,8.23E-01,-2.50E-02,-2.09E-01,1.93E-01,-1.54E-01,9.65E-02,-2.68E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.20E+00,1.72E-02,8.53E-01,4.10E+00,6.83E-01,0.344482772,8.73E-01,2.75E-02,-1.41E-01,1.83E-01,-2.78E-01,1.43E-01,-2.97E-01,3.99E+00,-3.85E-01,1.71E-01,4.50E+00,5.97E-01,0.403109327,9.86E-01,-4.69E-02,-2.17E-01,3.00E-01,-2.13E-01,9.55E-02,-2.96E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,4.36E+00,2.23E-02,1.52E-01,3.92E+00,7.35E-01,0.348146417,8.79E-01,1.37E-02,-2.18E-01,2.52E-01,-2.41E-01,1.75E-01,-2.81E-01,4.10E+00,-1.36E-01,3.80E-01,3.73E+00,6.40E-01,0.376773857,6.60E-01,-9.90E-03,-2.85E-01,2.65E-01,-2.17E-01,8.01E-02,-2.76E-01,3.64E+00,-3.84E-01,2.88E-01,4.06E+00,5.95E-01,0.391784103,6.91E-01,-5.33E-02,-2.28E-01,2.96E-01,-2.32E-01,9.39E-02,-2.38E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,3.90E+00,1.18E-01,7.77E-02,3.89E+00,6.78E-01,0.390588109,7.72E-01,6.64E-02,-2.12E-01,2.18E-01,-1.53E-01,1.28E-01,-2.66E-01,4.36E+00,-2.39E-02,-2.88E-01,4.14E+00,7.95E-01,0.353071921,9.12E-01,5.41E-02,-1.79E-01,2.38E-01,-2.83E-01,5.93E-02,-2.63E-01,3.54E+00,1.44E-01,4.55E-01,3.85E+00,5.25E-01,0.411385813,7.26E-01,-5.68E-02,-2.21E-01,2.83E-01,-2.77E-01,1.62E-01,-2.33E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,4.08E+00,-1.36E-01,4.17E-01,4.24E+00,6.67E-01,0.397579748,8.01E-01,1.83E-02,-1.89E-01,2.53E-01,-2.52E-01,1.15E-01,-2.69E-01,4.11E+00,1.68E-01,-1.72E-01,3.70E+00,6.63E-01,0.409397245,9.14E-01,7.08E-02,-1.75E-01,2.45E-01,-2.76E-01,1.26E-01,-2.96E-01,3.14E+00,1.19E-01,4.55E-01,4.10E+00,7.09E-01,0.367231501,9.18E-01,-9.01E-03,-1.97E-01,2.89E-01,-2.27E-01,1.16E-01,-1.80E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,4.33E+00,-1.91E-01,4.79E-02,4.29E+00,5.88E-01,0.392326612,9.48E-01,3.91E-02,-1.94E-01,2.70E-01,-2.88E-01,1.48E-01,-2.61E-01,4.38E+00,-1.12E-01,-2.87E-01,4.32E+00,6.07E-01,0.356369856,7.49E-01,2.72E-02,-2.36E-01,2.37E-01,-2.89E-01,5.20E-02,-2.60E-01,3.20E+00,4.15E-02,6.98E-01,3.77E+00,5.90E-01,0.387806388,8.21E-01,-1.42E-02,-1.65E-01,1.61E-01,-2.20E-01,9.32E-02,-2.33E-01
3.35E+00,2.84E-02,5.19E-01,4.41E+00,6.83E-01,0.37313196,9.79E-01,3.50E-02,-2.36E-01,1.94E-01,-2.13E-01,7.88E-02,-2.57E-01,3.86E+00,-1.57E-01,-1.81E-01,4.30E+00,8.02E-01,0.372897607,8.17E-01,7.41E-02,-2.71E-01,2.79E-01,-2.17E-01,1.47E-01,-2.12E-01,3.92E+00,-1.38E-01,-2.05E-01,4.28E+00,6.53E-01,0.334356187,9.57E-01,-2.97E-02,-2.10E-01,2.83E-01,-2.47E-01,1.58E-01,-2.31E-01,4.38E+00,-2.00E-01,-1.42E-01,4.20E+00,7.17E-01,0.391672384,9.45E-01,8.97E-02,-1.16E-01,2.52E-01,-2.32E-01,1.89E-01,-2.97E-01
