"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
3.16E+00,3.08E-01,8.41E-01,3.30E+00,2.02E-01,0.15662845,1.49E-01,-3.23E-02,2.83E-02,4.62E-02,6.80E-02,-2.86E-02,-6.90E-02
2.77E+00,2.78E-01,2.00E-01,3.45E+00,3.59E-01,0.219707628,5.14E-01,3.08E-02,-7.23E-02,5.65E-02,1.14E-01,-3.70E-02,-9.23E-04
2.50E+00,3.45E-01,2.50E-01,3.10E+00,4.38E-01,0.099795431,6.40E-01,9.55E-02,-6.48E-03,-2.22E-02,-1.54E-02,-3.43E-02,1.28E-01
3.19E+00,3.67E-01,1.08E-01,2.65E+00,4.59E-01,0.083799067,4.21E-01,-1.34E-02,1.68E-02,2.91E-02,1.37E-02,7.70E-03,-3.64E-02
3.18E+00,4.49E-01,4.90E-01,2.94E+00,4.20E-01,0.131260244,2.93E-01,3.84E-02,-5.96E-02,-4.26E-02,3.06E-02,6.36E-02,8.73E-02
2.98E+00,-2.13E-02,3.93E-01,2.96E+00,3.61E-01,0.059197098,1.74E-01,-3.80E-02,1.06E-02,2.37E-02,1.37E-02,2.18E-02,-4.45E-02
3.23E+00,3.21E-01,4.01E-01,3.75E+00,5.58E-01,0.106784548,2.69E-01,-5.76E-02,-3.25E-02,-2.73E-03,5.26E-02,-4.24E-02,-1.68E-02
3.32E+00,3.84E-01,3.58E-01,3.07E+00,4.40E-01,0.059108037,3.72E-01,7.14E-02,4.14E-02,4.17E-02,-7.56E-02,3.17E-02,1.73E-02
3.22E+00,2.81E-01,2.87E-01,2.93E+00,5.76E-01,0.253445805,-6.64E-02,2.09E-02,-4.08E-02,-4.15E-02,-9.93E-02,1.54E-02,5.34E-02
3.10E+00,1.24E-01,5.10E-01,3.21E+00,4.88E-01,0.105747945,5.55E-01,-2.60E-02,5.17E-02,2.40E-02,4.43E-02,4.06E-03,4.87E-02
2.32E+00,5.03E-01,2.92E-01,3.06E+00,3.58E-01,0.280972018,4.20E-01,8.57E-03,-4.47E-02,5.75E-03,2.84E-02,-1.30E-02,3.92E-02
2.66E+00,5.29E-01,3.65E-01,3.67E+00,2.28E-01,0.112590364,4.58E-01,-6.95E-03,-3.78E-02,1.33E-03,-2.04E-02,7.00E-02,-3.46E-02
2.91E+00,4.02E-01,4.32E-01,2.96E+00,5.12E-02,0.194687189,2.17E-01,-5.14E-03,-1.66E-02,-7.01E-02,3.74E-02,3.92E-02,-2.60E-02
2.69E+00,6.24E-01,7.47E-01,3.05E+00,3.61E-01,0.253012492,4.17E-01,-3.99E-02,5.06E-02,1.94E-02,4.16E-02,2.76E-02,1.02E-02
2.92E+00,2.38E-01,5.34E-01,2.24E+00,-1.62E-01,0.121780859,8.40E-02,-3.99E-02,2.51E-02,-2.53E-02,-3.20E-02,1.03E-03,-4.69E-02
2.40E+00,3.80E-01,7.59E-01,2.24E+00,4.52E-01,0.039298725,2.74E-01,-6.34E-02,-1.75E-02,1.42E-01,6.96E-02,-5.02E-02,-3.97E-02
3.22E+00,2.59E-02,3.70E-01,3.25E+00,4.98E-01,0.090832053,5.98E-01,1.02E-02,3.71E-03,-1.35E-02,-8.63E-02,-1.24E-01,2.44E-02
4.03E+00,2.62E-01,4.02E-01,2.40E+00,-1.26E-02,0.075471559,5.01E-01,-3.50E-03,2.22E-02,1.47E-02,5.21E-02,4.31E-02,4.66E-02
4.06E+00,4.81E-01,2.38E-01,2.87E+00,3.11E-01,0.264570663,2.81E-01,-1.12E-02,-3.09E-02,-5.91E-02,3.79E-02,6.23E-02,-1.07E-02
3.19E+00,4.77E-01,3.05E-01,2.40E+00,-3.75E-02,0.304474207,6.38E-01,-3.92E-03,-7.72E-02,-3.91E-02,1.13E-02,4.87E-02,4.80E-02
3.94E+00,3.06E-01,3.48E-01,3.10E+00,2.84E-01,0.060092088,6.09E-01,-3.30E-02,7.86E-02,-3.49E-02,3.65E-04,-1.21E-02,3.87E-02
2.33E+00,5.92E-01,8.70E-01,2.88E+00,2.80E-01,0.068944244,2.78E-01,3.73E-02,5.65E-03,1.70E-02,-1.45E-02,1.89E-02,1.45E-02
4.11E+00,4.51E-01,2.90E-01,2.94E+00,-2.13E-01,0.015088048,7.63E-02,-3.04E-02,5.73E-02,-9.68E-04,1.38E-01,3.90E-03,5.87E-02
2.62E+00,8.78E-01,7.02E-03,2.89E+00,2.31E-01,0.197411066,7.01E-01,-3.43E-02,6.15E-02,4.80E-02,-5.35E-02,1.06E-02,2.67E-03
3.52E+00,4.85E-01,6.46E-01,2.79E+00,7.44E-01,0.053105824,1.47E-01,-2.29E-02,1.37E-01,-2.76E-02,-1.37E-03,-6.75E-02,-7.10E-02
2.78E+00,2.91E-01,3.08E-01,3.01E+00,4.48E-01,0.170509271,6.16E-01,9.63E-03,-5.16E-02,-6.11E-02,1.13E-02,6.84E-03,-7.50E-02
3.32E+00,6.24E-01,4.88E-01,2.86E+00,1.47E-01,0.006536619,3.39E-01,3.01E-02,1.39E-02,8.37E-02,1.53E-02,3.71E-02,-6.03E-02
2.27E+00,-1.05E-01,-3.08E-01,3.08E+00,2.42E-01,0.127479671,2.10E-01,8.66E-02,2.16E-02,1.46E-03,-1.02E-02,-1.01E-01,-1.02E-01
2.55E+00,2.65E-01,1.40E-01,2.29E+00,5.24E-01,0.122115271,4.02E-01,1.98E-02,-1.74E-01,-6.50E-03,-6.19E-02,1.57E-02,1.91E-02
3.09E+00,5.70E-01,1.57E-01,3.89E+00,1.24E-01,0.273211166,7.07E-01,5.70E-03,-6.48E-02,1.42E-02,3.07E-02,1.03E-01,2.67E-02
2.41E+00,7.84E-01,2.29E-01,3.40E+00,1.41E-01,0.122252418,3.01E-01,-5.63E-02,-4.01E-02,-4.31E-03,1.61E-02,-1.21E-02,-7.42E-03
2.87E+00,1.39E-01,3.35E-01,3.93E+00,3.19E-01,0.241164853,4.27E-01,3.33E-02,8.77E-02,-5.94E-02,-6.41E-02,6.01E-02,1.94E-03
3.81E+00,9.48E-01,4.07E-01,3.26E+00,5.35E-01,0.142699296,2.21E-01,-5.60E-02,-7.38E-02,2.23E-02,-9.28E-02,2.72E-02,-3.35E-02
2.99E+00,3.71E-01,2.60E-01,2.76E+00,8.08E-02,0.34763285,3.11E-01,-5.64E-02,2.04E-02,-4.47E-02,-1.04E-02,-3.17E-02,9.42E-02
3.35E+00,4.16E-01,4.84E-01,2.20E+00,-5.43E-02,0.150315683,6.65E-01,-1.69E-02,-1.74E-02,5.82E-02,-4.12E-02,-7.19E-02,3.09E-02
2.56E+00,1.06E-01,1.96E-01,2.66E+00,3.35E-01,0.081863547,3.48E-01,2.85E-02,1.21E-02,-2.13E-02,-8.93E-03,-9.57E-03,7.68E-02
2.87E+00,4.93E-01,2.98E-01,2.81E+00,7.01E-01,0.201008763,4.63E-01,-2.62E-02,-3.14E-03,-4.47E-02,1.44E-02,1.27E-03,-7.91E-02
2.28E+00,2.01E-01,2.70E-01,3.02E+00,7.23E-01,0.19661998,4.10E-01,4.13E-03,4.63E-02,1.18E-02,-2.22E-03,-2.63E-02,6.62E-02
2.11E+00,3.21E-01,5.64E-01,3.84E+00,4.95E-01,0.158414502,7.20E-01,-2.17E-02,8.31E-02,6.36E-03,-5.43E-02,-5.93E-02,-3.95E-02
3.00E+00,5.89E-01,5.09E-01,3.87E+00,2.42E-01,0.114700532,1.86E-01,-5.30E-02,1.45E-02,5.10E-02,6.73E-02,-3.35E-02,-6.21E-02
3.24E+00,5.08E-01,3.98E-01,2.90E+00,2.58E-01,0.208725747,4.55E-01,4.02E-02,6.08E-02,-6.57E-03,-1.15E-01,-8.64E-02,-3.55E-02
3.70E+00,5.80E-01,-1.16E-01,2.02E+00,6.31E-01,-0.022043347,5.76E-01,-9.21E-03,-3.73E-02,-3.01E-02,-5.22E-02,4.95E-02,2.40E-02
2.81E+00,3.88E-01,4.97E-01,3.32E+00,5.79E-01,0.143097299,5.84E-01,2.71E-02,-3.05E-02,8.22E-03,7.63E-04,-5.07E-02,-1.08E-01
2.19E+00,2.69E-01,4.26E-01,2.48E+00,8.20E-02,0.017936163,1.26E-01,4.54E-02,-1.62E-02,3.69E-02,-4.76E-02,9.96E-02,-3.70E-02
3.29E+00,2.92E-01,-7.49E-02,2.18E+00,2.36E-01,0.351884073,4.53E-01,6.01E-04,-7.63E-03,4.52E-02,8.03E-02,1.51E-02,-1.39E-01
2.53E+00,3.19E-01,3.12E-01,2.19E+00,5.57E-01,0.236235875,8.23E-02,4.12E-02,-3.25E-02,2.76E-02,2.86E-02,-3.76E-02,-2.94E-02
3.86E+00,5.95E-02,4.56E-01,3.47E+00,5.25E-01,0.180402453,6.71E-01,4.02E-02,-6.31E-03,-3.39E-02,7.39E-02,-4.38E-03,-2.05E-02
2.93E+00,1.82E-01,4.54E-01,2.99E+00,3.43E-01,0.170515555,3.99E-01,3.45E-03,1.11E-03,5.50E-02,-1.04E-01,1.51E-03,-2.04E-02
3.67E+00,6.24E-01,-1.58E-04,3.58E+00,5.58E-01,0.067675686,1.32E-01,3.73E-02,4.52E-02,2.78E-02,-2.91E-02,8.98E-02,7.70E-03
2.85E+00,2.27E-01,3.87E-01,2.31E+00,6.97E-01,0.100863994,5.77E-01,6.15E-02,-1.05E-01,1.83E-02,-3.43E-02,6.47E-02,-5.10E-02
2.50E+00,2.67E-01,3.78E-01,2.68E+00,4.46E-01,0.150342269,3.54E-01,-1.09E-03,-4.58E-02,-5.18E-02,-4.10E-02,2.88E-02,9.77E-02
3.02E+00,4.45E-01,3.04E-01,3.67E+00,1.66E-01,0.258888804,2.10E-01,-2.81E-02,4.66E-02,-9.05E-02,-2.99E-02,-3.20E-02,7.67E-03
3.20E+00,3.24E-01,9.10E-01,2.37E+00,3.66E-01,0.123535653,3.72E-01,-4.13E-02,9.77E-02,-6.22E-02,5.74E-02,3.40E-02,-8.56E-02
2.99E+00,4.58E-01,5.02E-01,2.80E+00,4.14E-01,0.291786858,1.19E-01,6.63E-02,-6.37E-02,1.38E-02,-7.00E-02,2.16E-02,-4.70E-03
3.04E+00,1.29E-01,3.12E-01,4.05E+00,4.28E-01,0.143565922,5.05E-01,9.04E-02,1.04E-01,1.18E-03,-3.61E-02,-3.33E-02,-5.99E-02
2.59E+00,1.90E-01,6.43E-01,2.79E+00,1.07E-01,0.120787423,3.45E-01,-9.58E-02,1.36E-02,1.24E-02,2.17E-04,-2.09E-02,-1.46E-02
3.67E+00,2.82E-01,5.10E-01,3.62E+00,-3.77E-02,0.053293414,3.02E-01,6.15E-02,-1.60E-02,-3.79E-02,3.85E-02,7.74E-02,1.06E-01
3.49E+00,1.97E-01,4.72E-01,3.38E+00,2.07E-01,0.086107534,3.32E-01,1.31E-02,5.58E-02,-5.67E-03,-6.96E-02,3.61E-02,-2.64E-02
1.89E+00,3.17E-01,2.12E-01,2.38E+00,3.79E-01,0.177288222,2.78E-01,-1.97E-03,9.36E-02,-1.94E-02,-4.27E-03,-3.38E-03,-1.96E-02
